"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"SexMale",1.53264961376426,0.0423681205520056,10.0782854125248,6.89182113578839e-24,1.41051942198649,1.66535448002802
"BMI",1.01454744820451,0.00333748763707233,4.32740156654607,1.50878736542814e-05,1.00793259125845,1.02120571711364
"LVEF",0.967088179962908,0.00234149878460684,-14.2923834509763,2.44109543443283e-46,0.962660135833257,0.971536592210115
"eGFR",0.995480840509763,0.000794899098062982,-5.69808391003099,1.21161418505324e-08,0.99393111516647,0.997032982166022
"LBBBYes",1.30727971186179,0.050631882034324,5.29208892865659,1.20927060418874e-07,1.18377887388021,1.44366509890798
"Stroke_TIAYes",1.13341957325527,0.0522617371400322,2.39638483068791,0.0165576960095421,1.02307020534841,1.25567133352367
"Anti_plateletYes",0.887455361974573,0.0488180021685774,-2.44575873571905,0.0144547691831821,0.80647806358311,0.976563474024682
"Beta_blockersYes",0.875834229200218,0.0468483909764422,-2.82994654165665,0.00465557823125182,0.798995790992882,0.960062125090184
"DiureticsYes",1.27563295755893,0.0376637518777968,6.46357520400912,1.02257678505599e-10,1.18485795182488,1.37336246923466
"PCIYes",0.932309592289391,0.0412594041056839,-1.69877244733701,0.0893620669434872,0.859884427873344,1.0108348839675
"CABGYes",1.14501073220567,0.0404849135488635,3.34480175940668,0.000823414020015702,1.0576664695829,1.23956806287259
"Haemoglobin",0.976276938844642,0.0095967075910314,-2.50179384691607,0.012356585309256,0.958085568320087,0.994813712715728
"RBBBYes",1.12167563572629,0.0628900594899223,1.82578409875516,0.0678827894391372,0.991596923884807,1.2688182077581
"AF_atrial_flutterYes",1.09321138349015,0.0402556669986475,2.21383955752691,0.0268398178155473,1.01027233237751,1.18295937708197
"SmokingYes",1.13690799382622,0.0335205079410151,3.82787431510038,0.00012925472587974,1.06461507623964,1.21410997765638
"Aldosterone_antagonistYes",0.929704954032963,0.0448093103029764,-1.62662617223102,0.103816517250677,0.851536740986842,1.01504874651884
"Anti_diabetic_insulinYes",1.20096045078161,0.092097845947064,1.98833762540729,0.0467743621837648,1.00261656846111,1.43854196081691
"Anti_diabetic_oralYes",0.822112258357513,0.0929524929047714,-2.10729502549434,0.0350920142935826,0.685188110690959,0.986398559455633
"Calcium_antagonistsYes",1.14064470639963,0.0468385953475386,2.8095128281831,0.00496165417630563,1.04059396936721,1.25031509362742
"Digitalis_glycosidesYes",1.14021956242472,0.0560132496673406,2.34267505026328,0.0191460501732436,1.02166831130075,1.27252713640572
"HFYes",1.15598499247071,0.0479076087230893,3.0256736192362,0.00248079931200103,1.05238140426413,1.26978802305225
"Anti_diabeticYes",1.4041403692413,0.108301357842385,3.13408146915588,0.00172392985576869,1.13559701591251,1.73618823306682
"Lipid_loweringYes",0.804580937765396,0.0457122702919724,-4.75657213971341,1.96907893457981e-06,0.735629918574332,0.879994776000988
"CVD_risk_region2",0.567008848482305,0.0967525297372167,-5.86424325160573,4.5118563648122e-09,0.469065977580826,0.685402586466275
"CVD_risk_region3",1.09987651230936,0.0629568514447239,1.51211361084614,0.130504962883623,0.97219852704488,1.24432233610447
"CVD_risk_region4",1.38757048113505,0.0916594136169375,3.57360307727561,0.000352102544110147,1.15940299485698,1.66064073377251
"GroupNonICD_preserved",0.267726183870026,0.0862406594353534,-15.2803855092257,1.03327657688825e-52,0.226090682714963,0.317029028657371
"GroupNonICD_reduced",0.357458051698204,0.0661006218479023,-15.5632009636302,1.2945919035138e-54,0.314022041456103,0.406902197474371
"Baseline_typeMI40d",1.33864877218718,0.0628615721788224,4.63973006294262,3.48864565808316e-06,1.18347415120784,1.51416956039925
"LDL",0.999271571325711,0.000384741738254886,-1.89398246903997,0.0582273368600091,0.99851832470862,1.00002538616519
"PCI_acuteYes",0.710566359849187,0.0474155027034952,-7.20635483167988,5.74695292949196e-13,0.647507038879232,0.779766892763455
"MI_historyYes",1.87554591827942,0.0497535661890097,12.6402953925176,1.26577520515308e-36,1.70128623810627,2.06765470312049
