"imp1","imp2","term"
0.729612125663546,0.73362340179203,"ns(BMI, knots = K4, Boundary.knots = BND)"
0.000124062521841153,0.000134850686806996,"Age"
0.637287193901675,0.628937072120337,"Sex"
0.0622433828319494,0.0519623130386492,"Diabetes"
0.116243872375196,0.0377717139426861,"Hypertension"
0.651126256549743,0.856671378340926,"Smoking"
0.0134371810560169,0.305176900557229,"MI_history"
0.000851974202117428,0.00108779017618509,"LVEF"
0.0234880737928291,0.0162732031437391,"eGFR"
0.0298790594095073,0.0281316877599976,"Haemoglobin"
0.518716804500765,0.511173451500963,"ACE_inhibitor_ARB"
0.221257057112918,0.233832931056436,"Beta_blockers"
0.700797346202102,0.781711003020959,"Lipid_lowering"
3.66647054386495e-05,0.000163296425560285,"Revascularisation_acute"
